created_at,polarity,subjectivity,summary,text,title,ID,tophic_id
2017-02-13T15:38:23.880464,-80.00%,100%,"Arnold Schwarzenegger Slams Donald Trump's Immigration BanFrom splash newsArnold Schwarzenegger was asked about President Trump's immigration ban, and he slammed it, saying it 'makes us look stupid'.","Arnold Schwarzenegger Slams Donald Trump's Immigration BanFrom splash news Arnold Schwarzenegger was asked about President Trump's immigration ban, and he slamed it, saying it 'makes us look stupid'.",Arnold Schwarzenegger Slams Donald Trump's Immigration Ban,http://video.showbiz.canoe.com/video/hub/entertainment/2434063121001/arnold-schwarzenegger-slams-donald-trumps-immigration-ban/5305032841001,http://video.showbiz.canoe.com/video/hub/entertainment/2434063121001/arnold-schwarzenegger-slams-donald-trumps-immigration-ban/5305032841001
2017-02-13T15:41:19.375531,-80.00%,100%,"Arnold Schwarzenegger Slams Donald Trump's Immigration BanFrom splash newsArnold Schwarzenegger was asked about President Trump's immigration ban, and he slammed it, saying it 'makes us look stupid'.","Arnold Schwarzenegger Slams Donald Trump's Immigration Ban From splash new Arnold Schwarzenegger was asked about President Trump's immigration ban, and he slammed it, saying it 'makes us look stupid'.",Arnold Schwarzenegger Slams Donald Trump's Immigration Ban,http://video.showbiz.canoe.com/video/hub/entertainment/2434063121001/arnold-schwarzenegger-slams-donald-trumps-immigration-ban/5305032841001/,http://video.showbiz.canoe.com/video/hub/entertainment/2434063121001/arnold-schwarzenegger-slams-donald-trumps-immigration-ban/5305032841001/
2017-02-14T08:46:04.455819,-50.00%,50%,"USA: Migrantin zu acht Jahren GefÃ_ngnis verurteilt, weil sie illegal wÃ_hlteCopyright Â©1999-2017 ShortNews GmbH & Co. KG Die News auf dieser Website werden eigenverantwortlich von Nutzern erstellt.Die Shortnews GmbH & Co. KG nimmt keinen redaktionellen Einfluss auf die Inhalte.","USA: Migrantin zu acht Jahren GefÃ_ngnis verurteilt, weil sie illegal wÃ_hlteCopyright Â©1999-2017 ShortNews GmbH & Co. KG Die News auf dieser Website werden eigenverantwortlich von Nutzern erstellt. Die Shortnews GmbH & Co. KG nimmt keinen redaktionellen Einfluss auf die Inhalte.","Migrantin zu acht Jahren GefÃ_ngnis verurteilt, weil sie illegal wÃ_hlte",http://shortnews.de/id/1221393/usa-migrantin-zu-acht-jahren-gefaengnis-verurteilt-weil-sie-illegal-waehlte,http://shortnews.de/id/1221393/usa-migrantin-zu-acht-jahren-gefaengnis-verurteilt-weil-sie-illegal-waehlte
2017-02-20T20:46:31.862401,-39.50%,66%,"I urge you to sponsor and support legislation banning Islam from America.
PLEASE SUPPORT OUR PETITION TO GET ISLAM BANNED BY LIKING PAGE THAT SPREADS NEGATIVE SIDES OF ISLAM AND ILLEGAL IMMIGRATIONPGlmcmFtZSBzcmM9Imh0dHBzOi8vd3d3LmZhY2Vib29rLmNvbS9wbHVnaW5zL3BhZ2UucGhwP2hyZWY9aHR0cHMlM0ElMkYlMkZ3d3cuZmFjZWJvb2suY29tJTJGRnJlc2hOZXdzMDAwJTJGJnRhYnMmd2lkdGg9MzQwJmhlaWdodD0xMzAmc21hbGxfaGVhZGVyPWZhbHNlJmFkYXB0X2NvbnRhaW5lcl93aWR0aD1mYWxzZSZoaWRlX2NvdmVyPWZhbHNlJnNob3dfZmFjZXBpbGU9ZmFsc2UmYXBwSWQ9MjcxMDk5MzgzMjkxNzk1IiB3aWR0aD0iMzQwIiBoZWlnaHQ9IjEzMCIgc3R5bGU9ImJvcmRlcjpub25lO292ZXJmbG93OmhpZGRlbiIgc2Nyb2xsaW5nPSJubyIgZnJhbWVib3JkZXI9IjAiIGFsbG93VHJhbnNwYXJlbmN5PSJ0cnVlIj48L2lmcmFtZT4=Islam is not a religion, it is a violent cult and should be banned from America. Remember To Start This Movement It Is Necessary To Get At Least 100,000 Likes!","PLEASE SUPPORT OUR PETITION TO GET ISLAM BANNED BY LIKING PAGE THAT SPREADS NEGATIVE SIDES OF ISLAM AND ILLEGAL IMMIGRATION PGlmcmFtZSBzcmM9Imh0dHBzOi8vd3d3LmZhY2Vib29rLmNvbS9wbHVnaW5zL3BhZ2UucGhwP2hyZWY9aHR0cHMlM0ElMkYlMkZ3d3cuZmFjZWJvb2suY29tJTJGRnJlc2hOZXdzMDAwJTJGJnRhYnMmd2lkdGg9MzQwJmhlaWdodD0xMzAmc21hbGxfaGVhZGVyPWZhbHNlJmFkYXB0X2NvbnRhaW5lcl93aWR0aD1mYWxzZSZoaWRlX2NvdmVyPWZhbHNlJnNob3dfZmFjZXBpbGU9ZmFsc2UmYXBwSWQ9MjcxMDk5MzgzMjkxNzk1IiB3aWR0aD0iMzQwIiBoZWlnaHQ9IjEzMCIgc3R5bGU9ImJvcmRlcjpub25lO292ZXJmbG93OmhpZGRlbiIgc2Nyb2xsaW5nPSJubyIgZnJhbWVib3JkZXI9IjAiIGFsbG93VHJhbnNwYXJlbmN5PSJ0cnVlIj48L2lmcmFtZT4=Islam is not a religion, it is a violent cult and should be banned from America. I urge you to sponsor and support legislation banning Islam from America. Remember To Start This Movement It Is Necessary To Get At Least 100,000 Likes!",Should We Stop Welfare Programs For Illegal Immigrants? [Vote],http://theusa-news.com/stop-welfare-programs-illegal-immigrants-vote,http://theusa-news.com/stop-welfare-programs-illegal-immigrants-vote
2017-01-10T12:50:20.505610,-37.50%,38%,Mark discusses his frustration with the murder of five people by an illegal immigrant this past week.,Mark discusses his frustration with the murder of five people by an illegal immigrant this past week.,Illegal Immigrant Murders Five People,http://www.crtv.com/video/Illegal+Immigrant+Murders+Five+People?playlistId=5206557875001&talent=LevinTV,http://www.crtv.com/video/Illegal+Immigrant+Murders+Five+People?playlistId=5206557875001&talent=LevinTV
2017-02-16T14:57:18.356083,-32.78%,29%,"The Pharmacists Council of Nigeria (PCN) on Wednesday threatened to close down all unlicenced pharmacies by March ending if they failed to regularise their operations.
He said that this was in a bid to tackle the activities of some unscrupulous people []
Mr Elijah Mohammed, the Council's Registrar, made this known in an interview in Abuja.","The Pharmacists Council of Nigeria (PCN) on Wednesday threatened to close down all unlicenced pharmacies by March ending if they failed to regularise their operations. Mr Elijah Mohammed, the Council's Registrar, made this known in an interview in Abuja. He said that this was in a bid to tackle the activities of some unscrupulous people []",Pharmacists Council threatens to shut illegal pharmacies in March,http://www.latestnigeriannews.com/news/4065431/pharmacists-council-threatens-to-shut-illegal-pharmacies-in-march.html,http://www.latestnigeriannews.com/news/4065431/pharmacists-council-threatens-to-shut-illegal-pharmacies-in-march.html
2017-02-17T12:35:26.901917,-26.11%,56%,"Watch also in iWantv or TFC.tvIsinulong ng Office of the Solicitor General na ipawalang-sala si Janet Lim-Napoles sa kasong serious illegal detention.
TV Patrol, Miyerkules, 15 Pebrero 2017
Nagpa-Patrol, Carolyn Bonquin.","Watch also in iWantv or TFC.tv
Isinulong ng Office of the Solicitor General na ipawalang-sala si Janet Lim-Napoles sa kasong serious illegal detention. Nagpa-Patrol, Carolyn Bonquin. TV Patrol, Miyerkules, 15 Pebrero 2017","SolGen, inirekomendang ipawalang-sala si Napoles sa illegal detention",http://abs-cbnnews.com/video/news/02/15/17/solgen-inirekomendang-ipawalang-sala-si-napoles-sa-illegal-detention,http://abs-cbnnews.com/video/news/02/15/17/solgen-inirekomendang-ipawalang-sala-si-napoles-sa-illegal-detention
2017-02-21T14:31:56.532830,-21.25%,26%,"(AP Photo/Ted S. Warren) Ted S. Warren, AP
A federal magistrate on Friday declined to release Medina, saying he must request a hearing from a federal immigration judge.
Ramirez's arrest thrust him into a national debate over the immigration priorities of President Donald Trump.
NoneDianne Reeves, of Seattle, holds an upside-down U.S. flag, commonly seen as a sign of distress, and a photo taken at the Standing Rock oil pipeline protests in North Dakota, Friday, Feb. 17, 2017, outside the federal courthouse in Seattle, where a hearing was held for Daniel Ramirez Medina, a Seattle-area man who was arrested by immigration agents despite his participation in a federal program to protect those brought to the U.S. illegally as children.","None
Dianne Reeves, of Seattle, holds an upside-down U.S. flag, commonly seen as a sign of distress, and a photo taken at the Standing Rock oil pipeline protests in North Dakota, Friday, Feb. 17, 2017, outside the federal courthouse in Seattle, where a hearing was held for Daniel Ramirez Medina, a Seattle-area man who was arrested by immigration agents despite his participation in a federal program to protect those brought to the U.S. illegally as children. A federal magistrate on Friday declined to release Medina, saying he must request a hearing from a federal immigration judge. Ramirez's arrest thrust him into a national debate over the immigration priorities of President Donald Trump. (AP Photo/Ted S. Warren) Ted S. Warren, AP",Seattle immigration protest,http://www.kitsapsun.com/picture-gallery/news/2017/02/17/seattle-immigration-protest/98071414/,http://www.kitsapsun.com/picture-gallery/news/2017/02/17/seattle-immigration-protest/98071414/
2017-01-10T12:29:32.819236,-20.00%,31%,"These photos highlight U.S. Immigration and Customs Enforcementâ€™s mission to promote homeland security and public safety through criminal and civil enforcement of federal laws governing border patrol, customs, trade and immigration.","These photos highlight U.S. Immigration and Customs Enforcementâ€™s mission to promote homeland security and public safety through criminal and civil enforcement of federal laws governing border patrol, customs, trade and immigration.",Immigration and Customs Enforcement Photo Set,http://www.dhs.gov/gallery/ice,http://www.dhs.gov/gallery/ice
2017-02-13T15:19:44.810275,-18.32%,53%,"Immigration officials and police have denied that the raids are a coordinated attempt to accelerate deportations and have said that their actions are merely ""routine"".
""The crackdown on illegal criminals is merely the keeping of my campaign promise.
US President Donald Trump said on Sunday on Twitter that the recent increase in immigration raids to detain undocumented foreigners comes in fulfilment of his campaign promises, adding that the majority of the people being seized for deportation are ""gang members, drug dealers & others"".
In recent days, Immigration and Customs Enforcement raids have been increased to find undocumented migrants, and witnesses and immigrant organisations have said that people without criminal records are also being taken into custody.
"" EFE news quoted the President as saying in his Twitter post.","US President Donald Trump said on Sunday on Twitter that the recent increase in immigration raids to detain undocumented foreigners comes in fulfilment of his campaign promises, adding that the majority of the people being seized for deportation are ""gang members, drug dealers & others"".
""The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers & others are being removed!"" EFE news quoted the President as saying in his Twitter post.
On January 25, Trump signed executive orders on immigration that, besides calling for construction of a wall on the US-Mexico border, asked for an increase in personnel to be able to accelerate the raids to find not only undocumented migrants, but also minors without any criminal record.
That constitutes a toughened stance on deportations from the policy pursued by the Barack Obama administration, which gave priority in deportations to people with criminal convictions or serious crimes on their records.
In recent days, Immigration and Customs Enforcement raids have been increased to find undocumented migrants, and witnesses and immigrant organisations have said that people without criminal records are also being taken into custody.
The fear has spread into the major US cities with a large migrant presence and protests have spread nationwide with an eye toward blocking the deportation of detainees.
Immigration officials and police have denied that the raids are a coordinated attempt to accelerate deportations and have said that their actions are merely ""routine"".",Immigration raids fulfil campaign promise,http://www.thestatesman.com/world/immigration-raids-fulfil-campaign-promise-trump-1486956221.html,http://www.thestatesman.com/world/immigration-raids-fulfil-campaign-promise-trump-1486956221.html
